timestamp,T2A,T1Ka_inner_roof,G_sol,T_a,RH
2026-03-31 17:10:00,27.19822,29.806639,26.0,29.9,86.0
2026-03-31 17:11:00,27.198433,29.811098,23.0,29.9,87.0
2026-03-31 17:12:00,27.198514,29.809045,21.0,29.9,87.0
2026-03-31 17:13:00,27.217182,29.800324,21.0,29.9,87.0
2026-03-31 17:14:00,27.224354,29.810877,21.0,29.8,88.0
2026-03-31 17:15:00,27.218291,29.797273,19.0,29.7,88.0
2026-03-31 17:16:00,27.234936,29.795697,18.0,29.7,88.0
2026-03-31 17:17:00,27.234071,29.800727,16.0,29.6,88.0
2026-03-31 17:18:00,27.233811,29.804246,16.0,29.5,88.0
2026-03-31 17:19:00,27.230877,29.794493,12.0,29.4,88.0
2026-03-31 17:20:00,27.23452,29.808118,12.0,29.3,89.0
2026-03-31 17:21:00,27.240565,29.808886,11.0,29.2,89.0
2026-03-31 17:22:00,27.253352,29.810194,11.0,29.1,89.0
2026-03-31 17:23:00,27.248403,29.813624,11.0,29.1,89.0
2026-03-31 17:24:00,27.244119,29.812916,9.0,29.1,90.0
2026-03-31 17:25:00,27.250208,29.803928,9.0,29.0,90.0
2026-03-31 17:26:00,27.251487,29.81937,9.0,28.9,90.0
2026-03-31 17:27:00,27.256366,29.805038,9.0,28.8,90.0
2026-03-31 17:28:00,27.269648,29.809104,5.0,28.8,90.0
2026-03-31 17:29:00,27.259463,29.79683,5.0,28.7,91.0
2026-03-31 17:30:00,27.269477,29.799056,0.0,28.6,91.0
2026-03-31 17:31:00,27.273258,29.801855,0.0,28.3,90.0
2026-03-31 17:32:00,27.274453,29.799882,0.0,28.2,90.0
2026-03-31 17:33:00,27.281614,29.804836,0.0,28.0,90.0
2026-03-31 17:34:00,27.28572,29.783171,0.0,27.9,91.0
2026-03-31 17:35:00,27.284679,29.790601,0.0,27.8,91.0
2026-03-31 17:36:00,27.296414,29.802091,0.0,27.8,91.0
2026-03-31 17:37:00,27.283522,29.798764,0.0,27.7,91.0
2026-03-31 17:38:00,27.289732,29.79135,0.0,27.7,91.0
2026-03-31 17:39:00,27.298736,29.77864,5.0,27.7,91.0
2026-03-31 17:40:00,27.309033,29.7718,5.0,27.7,92.0
2026-03-31 17:41:00,27.31042,29.767889,7.0,27.7,92.0
2026-03-31 17:42:00,27.305552,29.777048,9.0,27.6,92.0
2026-03-31 17:43:00,27.311574,29.763657,9.0,27.6,92.0
2026-03-31 17:44:00,27.302207,29.764053,11.0,27.6,92.0
2026-03-31 17:45:00,27.313161,29.758416,11.0,27.6,92.0
2026-03-31 17:46:00,27.317365,29.746726,11.0,27.6,92.0
2026-03-31 17:47:00,27.325925,29.747674,7.0,27.6,91.0
2026-03-31 17:48:00,27.323868,29.74416,5.0,27.6,91.0
2026-03-31 17:49:00,27.325206,29.734608,5.0,27.5,91.0
2026-03-31 17:50:00,27.331238,29.738077,5.0,27.5,91.0
2026-03-31 17:51:00,27.33547,29.731537,5.0,27.5,91.0
2026-03-31 17:52:00,27.331993,29.720796,5.0,27.5,92.0
2026-03-31 17:53:00,27.336683,29.722852,0.0,27.5,91.0
2026-03-31 17:54:00,27.347528,29.717913,0.0,27.4,91.0
2026-03-31 17:55:00,27.352758,29.699508,0.0,27.4,91.0
2026-03-31 17:56:00,27.347858,29.714447,0.0,27.3,91.0
2026-03-31 17:57:00,27.360753,29.697625,0.0,27.2,91.0
2026-03-31 17:58:00,27.352972,29.695892,0.0,27.2,91.0
2026-03-31 17:59:00,27.351968,29.692917,0.0,27.1,91.0
2026-03-31 18:00:00,27.358763,29.692083,0.0,27.1,91.0
2026-03-31 18:01:00,27.359944,29.688938,0.0,27.1,91.0
2026-03-31 18:02:00,27.359349,29.680403,0.0,27.0,92.0
2026-03-31 18:03:00,27.366095,29.677541,0.0,27.0,92.0
2026-03-31 18:04:00,27.369429,29.674481,0.0,26.9,92.0
2026-03-31 18:05:00,27.364879,29.67171,0.0,27.0,92.0
2026-03-31 18:06:00,27.377445,29.669289,0.0,27.0,92.0
2026-03-31 18:07:00,27.374052,29.655317,0.0,27.0,92.0
2026-03-31 18:08:00,27.380556,29.651841,0.0,26.9,92.0
2026-03-31 18:09:00,27.375232,29.647987,0.0,26.9,92.0
2026-03-31 18:10:00,27.391781,29.652768,0.0,26.9,92.0
2026-03-31 18:11:00,27.379734,29.645183,0.0,26.9,92.0
2026-03-31 18:12:00,27.376466,29.647942,0.0,26.9,92.0
2026-03-31 18:13:00,27.393598,29.642049,0.0,27.0,92.0
2026-03-31 18:14:00,27.38309,29.622894,0.0,27.1,92.0
2026-03-31 18:15:00,27.383443,29.622582,0.0,27.1,92.0
2026-03-31 18:16:00,27.383255,29.613371,0.0,27.0,92.0
2026-03-31 18:17:00,27.392626,29.627478,0.0,26.9,92.0
2026-03-31 18:18:00,27.394324,29.603781,0.0,26.9,92.0
2026-03-31 18:19:00,27.393724,29.611282,0.0,26.9,92.0
2026-03-31 18:20:00,27.388621,29.605132,0.0,26.9,93.0
2026-03-31 18:21:00,27.402176,29.599026,0.0,26.8,93.0
2026-03-31 18:22:00,27.392139,29.589977,0.0,26.7,93.0
2026-03-31 18:23:00,27.403553,29.585352,0.0,26.7,93.0
2026-03-31 18:24:00,27.401225,29.58682,0.0,26.6,94.0
2026-03-31 18:25:00,27.403087,29.573403,0.0,26.6,94.0
2026-03-31 18:26:00,27.401679,29.598574,0.0,26.6,94.0
2026-03-31 18:27:00,27.40176,29.58092,0.0,26.5,94.0
2026-03-31 18:28:00,27.406577,29.576179,0.0,26.5,94.0
2026-03-31 18:29:00,27.402386,29.566645,0.0,26.4,94.0
2026-03-31 18:30:00,27.407276,29.5733,0.0,26.4,94.0
2026-03-31 18:31:00,27.407155,29.560304,0.0,26.4,94.0
2026-03-31 18:32:00,27.401586,29.547686,0.0,26.4,94.0
2026-03-31 18:33:00,27.403924,29.556019,0.0,26.4,94.0
