reference,candidate,n,bias_C,mae_C,rmse_C,corr,amp_reference_C,amp_candidate_C,amp_error_C,peak_time_reference,peak_time_candidate,peak_lag_min,top_col,H_slab_m
T1Tb,forced_slab_from_T1Ke,3459,-0.2736455093861866,1.0609360771210983,1.4422032882242795,0.974408281034947,13.027245000000004,7.21246524276313,-5.814779757236874,2026-04-01 14:56:00,2026-04-02 12:39:00,1303.0,T1Ke,0.05499999999999999
T1Tb,forced_slab_from_T1Ke,3459,-0.2819581135181402,1.0894537286076282,1.4664495186387247,0.973791465222488,13.027245000000004,7.075088598788739,-5.9521564012112655,2026-04-01 14:56:00,2026-04-02 12:40:00,1304.0,T1Ke,0.05999999999999999
T1Tb,forced_slab_from_T1Ke,3459,-0.28996939471395006,1.1208100871413833,1.494410817444974,0.9723514352399552,13.027245000000004,6.92992661762986,-6.097318382370144,2026-04-01 14:56:00,2026-04-02 12:42:00,1306.0,T1Ke,0.06499999999999999
T1Tb,forced_slab_from_T1Ke,3459,-0.297740393840673,1.1551306902945921,1.526227627134339,0.9699949305733139,13.027245000000004,6.839707679623075,-6.187537320376929,2026-04-01 14:56:00,2026-04-01 15:20:00,24.0,T1Ke,0.06999999999999999
T1Tb,forced_slab_from_T1Ke,3459,-0.3053291909353459,1.1925704982498588,1.5619288372196707,0.9666392278480518,13.027245000000004,6.770895630099858,-6.256349369900146,2026-04-01 14:56:00,2026-04-01 15:22:00,26.0,T1Ke,0.07499999999999998
T1Tb,forced_slab_from_T1Ke,3459,-0.31279084581153005,1.2327184849275032,1.6014383313670715,0.9622131696651517,13.027245000000004,6.699778338537669,-6.327466661462335,2026-04-01 14:56:00,2026-04-01 15:23:00,27.0,T1Ke,0.07999999999999999
T1Tb,forced_slab_from_T1Ke,3459,-0.3201773091045284,1.275383927272091,1.6445860342834155,0.9566579521571198,13.027245000000004,6.62515070754381,-6.402094292456194,2026-04-01 14:56:00,2026-04-01 15:26:00,30.0,T1Ke,0.08499999999999998
T1Tb,forced_slab_from_T1Ke,3459,-0.32753736992397614,1.320549171132924,1.6911219485906532,0.9499277465199614,13.027245000000004,6.547934599232349,-6.479310400767655,2026-04-01 14:56:00,2026-04-01 15:27:00,31.0,T1Ke,0.08999999999999998
T1Tb,forced_slab_from_T1Ke,3459,-0.3349166399320508,1.3682301079890555,1.7407319317010306,0.9419901381459563,13.027245000000004,6.468178417744639,-6.559066582255365,2026-04-01 14:56:00,2026-04-01 15:31:00,35.0,T1Ke,0.09499999999999999
T1Tb,forced_slab_from_T1Ke,3459,-0.34235752972328826,1.4177956000739984,1.7930541180025903,0.9328263334902667,13.027245000000004,6.387740488765019,-6.6395045112349855,2026-04-01 14:56:00,2026-04-01 15:33:00,37.0,T1Ke,0.09999999999999998
T1Tb,forced_slab_from_T1Ke,3459,-0.3498991649554804,1.4689625372272779,1.8476950126712486,0.9224310943696422,13.027245000000004,6.304961877177902,-6.722283122822102,2026-04-01 14:56:00,2026-04-01 15:37:00,41.0,T1Ke,0.10499999999999998
T1Tb,forced_slab_from_T1Ke,3459,-0.3575772110134209,1.521393822280238,1.9042444379921317,0.9108123874250054,13.027245000000004,6.221251179750311,-6.805993820249693,2026-04-01 14:56:00,2026-04-01 15:41:00,45.0,T1Ke,0.10999999999999997
T1Tb,forced_slab_from_T1Ke,3459,-0.36542360881092456,1.5747792331867019,1.962288719417348,0.897990764860165,13.027245000000004,6.13795018481477,-6.8892948151852345,2026-04-01 14:56:00,2026-04-01 15:46:00,50.0,T1Ke,0.11499999999999998
T1Tb,forced_slab_from_T1Ke,3459,-0.373466255955045,1.6287704510725458,2.0214217360144393,0.8839985127709467,13.027245000000004,6.052076256433281,-6.975168743566723,2026-04-01 14:56:00,2026-04-01 15:49:00,53.0,T1Ke,0.11999999999999998
T1Tb,forced_slab_from_T2A,3459,-2.6024315706220555,2.8713920521084844,3.963453699485077,0.5941707202407537,13.027245000000004,2.61620422250013,-10.411040777499874,2026-04-01 14:56:00,2026-04-01 17:04:00,128.0,T2A,0.01
T1Tb,forced_slab_from_T2A,3459,-2.565460429484369,2.845191070738089,3.9293233837619095,0.6074504408433955,13.027245000000004,2.6376464507353035,-10.3895985492647,2026-04-01 14:56:00,2026-04-01 17:04:00,128.0,T2A,0.015
T1Tb,forced_slab_from_T2A,3459,-2.530043296585515,2.821119966186619,3.897686914873152,0.6180695806693652,13.027245000000004,2.662165426315596,-10.365079573684408,2026-04-01 14:56:00,2026-04-01 17:07:00,131.0,T2A,0.019999999999999997
T1Tb,forced_slab_from_T2A,3459,-2.4960854442364235,2.7990156473274515,3.8684332913916597,0.6262815339744918,13.027245000000004,2.6861043790060535,-10.34114062099395,2026-04-01 14:56:00,2026-04-01 17:07:00,131.0,T2A,0.024999999999999998
T1Tb,forced_slab_from_T2A,3459,-2.463501997941403,2.7787389461781538,3.8414683696846885,0.6322988440223674,13.027245000000004,2.7101343806156706,-10.317110619384334,2026-04-01 14:56:00,2026-04-01 17:07:00,131.0,T2A,0.03
T1Tb,forced_slab_from_T2A,3459,-2.43221657837368,2.7602236538714484,3.8167111788952632,0.6362998091776567,13.027245000000004,2.7332246549450474,-10.294020345054957,2026-04-01 14:56:00,2026-04-01 17:07:00,131.0,T2A,0.034999999999999996
T1Tb,forced_slab_from_T2A,3459,-2.4021603327493786,2.7433606670702337,3.794091009353533,0.6384337913904656,13.027245000000004,2.755172575652864,-10.27207242434714,2026-04-01 14:56:00,2026-04-01 17:07:00,131.0,T2A,0.039999999999999994
T1Tb,forced_slab_from_T2A,3459,-2.3732713539037316,2.728122736696836,3.7735443889964233,0.6388269701463848,13.027245000000004,2.775368321388612,-10.251876678611392,2026-04-01 14:56:00,2026-04-01 17:07:00,131.0,T2A,0.045
T1Tb,forced_slab_from_T2A,3459,-2.345494188190745,2.7144436915725954,3.7550117690666376,0.6375885483271144,13.027245000000004,2.793863547194235,-10.23338145280577,2026-04-01 14:56:00,2026-04-01 17:07:00,131.0,T2A,0.049999999999999996
T1Tb,forced_slab_from_T2A,3459,-2.318779197648463,2.702230088294474,3.738434187821157,0.6348166806520102,13.027245000000004,2.810676719852893,-10.216568280147111,2026-04-01 14:56:00,2026-04-01 17:07:00,131.0,T2A,0.05499999999999999
T1Tb,forced_slab_from_T2A,3459,-2.293081757732858,2.691440602600516,3.723750336760616,0.6306033882029326,13.027245000000004,2.8254839996135956,-10.201761000386409,2026-04-01 14:56:00,2026-04-01 17:07:00,131.0,T2A,0.05999999999999999
T1Tb,forced_slab_from_T2A,3459,-2.2683613685249764,2.681988192267969,3.710894329095414,0.6250381049782598,13.027245000000004,2.8380504266010576,-10.189194573398947,2026-04-01 14:56:00,2026-04-01 17:07:00,131.0,T2A,0.06499999999999999
T1Tb,forced_slab_from_T2A,3459,-2.2445807830641002,2.6738011017839955,3.6997942487567537,0.6182099228379664,13.027245000000004,2.848315580778433,-10.178929419221571,2026-04-01 14:56:00,2026-04-01 17:13:00,137.0,T2A,0.06999999999999999
T1Tb,forced_slab_from_T2A,3459,-2.221705271641288,2.6667740187135682,3.6903714109608097,0.610208815707523,13.027245000000004,2.856130102717316,-10.171114897282688,2026-04-01 14:56:00,2026-04-01 17:13:00,137.0,T2A,0.07499999999999998
T1Tb,forced_slab_from_T2A,3459,-2.1997021142968065,2.66081351186888,3.6825402120411215,0.6011261504440218,13.027245000000004,2.8612889997276056,-10.165956000272399,2026-04-01 14:56:00,2026-04-01 17:15:00,139.0,T2A,0.07999999999999999
T1Tb,forced_slab_from_T2A,3459,-2.1785403392954636,2.6558878315424503,3.6762084432474227,0.591054737358067,13.027245000000004,2.8640065211583305,-10.163238478841674,2026-04-01 14:56:00,2026-04-01 17:21:00,145.0,T2A,0.08499999999999998
T1Tb,forced_slab_from_T2A,3459,-2.1581906460427738,2.65194171849826,3.6712779583587327,0.580088602647061,13.027245000000004,2.86409034412236,-10.163154655877644,2026-04-01 14:56:00,2026-04-01 17:21:00,145.0,T2A,0.08999999999999998
