datetime,model_theta_top,model_theta_mid,model_theta_bot,model_theta_mean,rika_corrected_theta_2cm,rika_raw_theta_2cm,rika_corrected_theta_7cm,rika_raw_theta_7cm
2026-04-01 13:58:00,0.05,0.4518309284854284,0.4649633279298846,0.4333039581180406,0.5383,0.769,0.4998,0.7140000000000001
2026-04-01 13:59:00,0.05,0.4517742144815144,0.4649231459939779,0.43324689876332706,0.5347999999999999,0.764,0.4998,0.7140000000000001
2026-04-01 14:00:00,0.05,0.4517175765517062,0.46488292827993927,0.4331899433362838,0.5313,0.759,0.4998,0.7140000000000001
2026-04-01 14:01:00,0.05,0.4516610146259807,0.46484267523501205,0.4331330916049705,0.5313,0.759,0.4998,0.7140000000000001
2026-04-01 14:02:00,0.05,0.4516045286294604,0.464802387305063,0.4330763419462454,0.5256999999999998,0.7509999999999999,0.4998,0.7140000000000001
2026-04-01 14:03:00,0.05,0.4515481184825646,0.46476206493454614,0.433019695634676,0.5222,0.746,0.4998,0.7140000000000001
2026-04-01 14:04:00,0.05,0.4514917841011547,0.4647217085664654,0.43296315535218055,0.5222,0.746,0.4998,0.7140000000000001
2026-04-01 14:05:00,0.05,0.45143552539667575,0.46468131864233986,0.43290672160268295,0.5186999999999999,0.741,0.4998,0.7140000000000001
2026-04-01 14:06:00,0.05,0.45137934227629767,0.4646408956021699,0.43285038396229175,0.5228999999999999,0.747,0.49909999999999993,0.713
2026-04-01 14:07:00,0.05,0.4513232346430492,0.4646004398844012,0.43279414578678493,0.5208,0.7440000000000001,0.49909999999999993,0.713
2026-04-01 14:08:00,0.05,0.45126720239595103,0.46455995192589394,0.4327380122217094,0.5131,0.733,0.49909999999999993,0.713
2026-04-01 14:09:00,0.05,0.4512112454301466,0.46451943216189084,0.432681979472288,0.5158999999999999,0.737,0.49909999999999993,0.713
2026-04-01 14:10:00,0.05,0.451155363637028,0.4644788810259836,0.4326260470403102,0.5145,0.735,0.49909999999999993,0.713
2026-04-01 14:11:00,0.05,0.45109955690435627,0.4644382989500844,0.4325702180620633,0.5186999999999999,0.741,0.49909999999999993,0.713
2026-04-01 14:12:00,0.05,0.4510438251163867,0.46439768636439693,0.43251448765228406,0.518,0.74,0.49909999999999993,0.713
2026-04-01 14:13:00,0.05,0.45098816815398274,0.464357043697388,0.43245885399328055,0.5215,0.745,0.49909999999999993,0.713
2026-04-01 14:14:00,0.05,0.45093258589473334,0.46431637137575915,0.43240331195828413,0.5236,0.748,0.49909999999999993,0.713
2026-04-01 14:15:00,0.05,0.4508770782130622,0.46427566982442,0.4323478539798773,0.5243000000000001,0.7490000000000001,0.49909999999999993,0.713
2026-04-01 14:16:00,0.05,0.4508216449803372,0.4642349394664607,0.4322924985681128,0.5249999999999999,0.75,0.4984,0.7120000000000001
2026-04-01 14:17:00,0.05,0.4507662860649808,0.46419418072312874,0.432237245547907,0.5256999999999998,0.7509999999999999,0.49909999999999993,0.713
2026-04-01 14:18:00,0.05,0.45071100133256925,0.46415339401380507,0.43218208962892923,0.5264,0.752,0.4984,0.7120000000000001
2026-04-01 14:19:00,0.05,0.4506557906459344,0.4641125797559799,0.4321270402693781,0.5264,0.752,0.4984,0.7120000000000001
2026-04-01 14:20:00,0.05,0.45060065386526593,0.46407173836522786,0.4320720854842039,0.5228999999999999,0.747,0.4984,0.7120000000000001
2026-04-01 14:21:00,0.05,0.45054559084820484,0.4640308702551896,0.43201720902603086,0.5243000000000001,0.7490000000000001,0.4984,0.7120000000000001
2026-04-01 14:22:00,0.05,0.45049060144993797,0.46398997583754886,0.431962432609672,0.5249999999999999,0.75,0.4984,0.7120000000000001
2026-04-01 14:23:00,0.05,0.45043568552329205,0.4639490555220124,0.4319077618358024,0.5249999999999999,0.75,0.4984,0.7120000000000001
2026-04-01 14:24:00,0.05,0.4503808429188198,0.46390810971629076,0.43185317983804133,0.5277999999999999,0.754,0.4984,0.7120000000000001
2026-04-01 14:25:00,0.05,0.45032607348488846,0.4638671388260788,0.43179867641389463,0.5298999999999999,0.757,0.4984,0.7120000000000001
2026-04-01 14:26:00,0.05,0.45027137706776654,0.46382614325503796,0.4317442696119438,0.5313,0.759,0.4984,0.7120000000000001
2026-04-01 14:27:00,0.05,0.4502167535117043,0.46378512340478056,0.4316899529639812,0.5285,0.755,0.4984,0.7120000000000001
2026-04-01 14:28:00,0.05,0.45016220265901596,0.4637440796748507,0.4316357281539141,0.5277999999999999,0.754,0.4984,0.7120000000000001
2026-04-01 14:29:00,0.05,0.45010772435015867,0.4637030124627109,0.4315816010718151,0.5277999999999999,0.754,0.4984,0.7120000000000001
